Status;Genre;Name (mame description);Rom name;Year;Manufacturer;Hardware;Comments;Notes
3;BeatEmUp;Crude Buster (World FX version);cbuster;1990;Data East Corporation;;;
3;BeatEmUp;Dark Seal (World revision 3);darkseal;1990;Data East Corporation;;;
3;BeatEmUp;Denjin Makai;denjinmk;1994;Banpresto;;;
1;BeatEmUp;Die Hard Arcade (US);diehard;1996;Sega;;No sound, gfx issues, very laggy;
3;BeatEmUp;DJ Boy;djboy;1989;Kaneko;;;
3;BeatEmUp;Double Dragon (Japan);ddragon;1987;Technos Japan;;;
3;BeatEmUp;Double Dragon 3 - The Rosetta Stone (US);ddragon3;1990;Technos Japan;;;
3;BeatEmUp;Double Dragon II - The Revenge (World);ddragon2;1988;Technos Japan;;;
1;BeatEmUp;DownTown;downtown;1989;Seta;;Missing rotation controls;
3;BeatEmUp;Dragon Buster;drgnbstr;1984;Namco;;;
3;BeatEmUp;Dragon Unit - Castle of Dragon;drgnunit;1989;Seta;;;
3;BeatEmUp;Dungeons & Dragons: Shadow over Mystara (Euro 960619);ddsom;1996;Capcom;;;
3;BeatEmUp;Dungeons & Dragons: Tower of Doom (Euro 940412);ddtod;1993;Capcom;;;
3;BeatEmUp;Dynamite Dux;ddux;1989;bootleg (Datsu);;;
3;BeatEmUp;Dynasty Wars (World);dw;1989;Capcom;;;
3;BeatEmUp;Eight Man;eightman;1991;SNK / Pallas;;;
3;BeatEmUp;Express Raider (US);exprraid;1986;Data East USA;;;
3;BeatEmUp;Final Fight (World, set 1);ffight;1989;Capcom;;;
3;BeatEmUp;Flashgal;flashgal;1985;Sega;;;
3;BeatEmUp;Gaia Crusaders;gaia;1999;Noise Factory;;;
1;BeatEmUp;Gaiapolis (Japan ver JAF);gaiapols;1993;Konami;;lags a little;
3;BeatEmUp;Galivan - Cosmo Police (12-16-1985);galivan;1985;Nichibutsu;;;
3;BeatEmUp;Gang Wars (US);gangwars;1989;Alpha Denshi Co.;;;
3;BeatEmUp;Genpei ToumaDen;genpeitd;1986;Namco;;;
3;BeatEmUp;Ginga NinkyouDen;ginganin;1987;Jaleco;;;
3;BeatEmUp;Gladiator (US);gladiatr;1986;Taito America Corporation;;;
3;BeatEmUp;Golden Axe - The Revenge of Death Adder (US);ga2;1992;Sega;;;
3;BeatEmUp;Golden Axe (set 6, US, 8751 317-123A);goldnaxe;1989;Sega;;;
3;BeatEmUp;Growl (World, Rev 1);growl;1990;Taito Corporation Japan;;;
3;BeatEmUp;Guardians / Denjin Makai II;grdians;1995;Winkysoft (Banpresto license);;long launch;
0;BeatEmUp;Guardians of the Hood;guardian;1992;Atari Games;;no launch;
3;BeatEmUp;Hachoo!;hachoo;1989;Jaleco;;;
3;BeatEmUp;Hammerin' Harry (World);hharry;1990;Irem;;;
3;BeatEmUp;Haunted Castle (version M);hcastle;1988;Konami;;;
3;BeatEmUp;Hook (World);hook;1992;Irem;;;
3;BeatEmUp;Iron Horse;ironhors;1986;Konami;;;
3;BeatEmUp;Judge Dredd (rev LA1, prototype);jdreddp;1993;Midway;;Game is slow;
3;BeatEmUp;Karate Blazers (World?);karatblz;1991;Video System Co.;;;
3;BeatEmUp;Kicker;kicker;1985;Konami;;;
3;BeatEmUp;Kid Niki - Radical Ninja (US);kidniki;1986;Irem (Data East USA license);;;
3;BeatEmUp;Knights of the Round (World 911127);knights;1991;Capcom;;;
3;BeatEmUp;Knights of Valour Plus - Sangoku Senki Plus (ver. 119);kovplus;1999;IGS;;long launch;
1;BeatEmUp;Knights of Valour Superheroes - Sangoku Senki Superheroes (ver. 322);kovsh;1999;IGS;;broken graphics;
3;BeatEmUp;Knuckle Bash;kbash;1993;Toaplan;;no music ?;
3;BeatEmUp;Knuckle Joe (set 1);kncljoe;1985;[Seibu Kaihatsu] (Taito license);;;
3;BeatEmUp;Kung-Fu Master (World);kungfum;1984;Irem;;;
3;BeatEmUp;Kuri Kinton (World);kurikint;1988;Taito Corporation Japan;;;
3;BeatEmUp;Kyros;kyros;1987;World Games Inc;;;
3;BeatEmUp;Legend;legend;None;Sega / Coreland ?;;;
3;BeatEmUp;Legend of Hero Tonma;loht;1989;Irem;;;
3;BeatEmUp;Legend of Makai (World);lomakai;1988;Jaleco;;;
3;BeatEmUp;Legend of Success Joe / Ashitano Joe Densetsu;legendos;1991;SNK;;;
1;BeatEmUp;Legionnaire;legionna;;;;heavy graphical bugs;
1;BeatEmUp;Light Bringer (Ver 2.2O 1994/04/08);lightbr;1993;Taito Corporation Japan;;lags a lot, japanese;
3;BeatEmUp;Mad Motor;madmotor;1989;Mitchell;;;
3;BeatEmUp;Magic Sword: Heroic Fantasy (World 900725);msword;1990;Capcom;;;
3;BeatEmUp;Metal Clash (Japan);metlclsh;1985;Data East;;;
3;BeatEmUp;Metamorphic Force (ver EAA);metamrph;1993;Konami;;;
3;BeatEmUp;Mighty Guy;mightguy;1986;Nichibutsu;;;
3;BeatEmUp;Mr. Goemon (Japan);mrgoemon;1986;Konami;;;
3;BeatEmUp;Musashi Ganryuuki;ganryu;1999;Visco;;;
3;BeatEmUp;Mutation Nation (NGM-014)(NGH-014);mutnat;1992;SNK;;;
3;BeatEmUp;My Hero (US);myhero;1985;Sega;;;
3;BeatEmUp;Nastar (World);nastar;1988;Taito Corporation Japan;;;
3;BeatEmUp;Nekketsu Kouha Kunio-kun (Japan);kuniokun;1986;Technos;;;
2;BeatEmUp;Night Slashers;nslasher;1994;Data East Corporation;;lags a little;
2;BeatEmUp;Ninja Baseball Batman (US);nbbatman;1993;Irem America;;lags in some places;
3;BeatEmUp;Ninja Clowns (08/27/91);ninclown;1991;Strata/Incredible Technologies;;;
3;BeatEmUp;Ninja Combat (NGM-009);ncombat;1990;Alpha Denshi Co.;;;
3;BeatEmUp;Ninja Gaiden (US);gaiden;1988;Tecmo;;;
3;BeatEmUp;Ninja Spirit;nspirit;1988;Irem;;;
3;BeatEmUp;Oriental Legend - Xi Yo Gi Shi Re Zuang (ver. 126);orlegend;1997;IGS;;;
0;BeatEmUp;Oriental Legend Special - Xi You Shi E Zhuan Super (ver. 101, Korean Board);olds;1998;IGS;;Freezes;
3;BeatEmUp;Osman (World);osman;1996;Mitchell;;;
3;BeatEmUp;P.O.W. - Prisoners of War (US version 1);pow;1988;SNK;;;
3;BeatEmUp;Pretty Soldier Sailor Moon (95-03-22B);sailormn;1995;Banpresto;;;
3;BeatEmUp;PuLiRuLa (World);pulirula;1991;Taito Corporation Japan;;;
3;BeatEmUp;Rastan (World Rev 1);rastan;1987;Taito Corporation Japan;;;
3;BeatEmUp;Renegade (US);renegade;1986;Technos Japan (Taito America license);;;
2;BeatEmUp;Riding Fight (Ver 1.0O);ridingf;1992;Taito Corporation Japan;;no sound;
3;BeatEmUp;Riot City (Japan);riotcity;1991;Sega / Westone;;;
3;BeatEmUp;Robo Army (set 1);roboarmy;1991;SNK;;;
3;BeatEmUp;Rock 'n Rage (World[Q]);rockrage;1986;Konami;;;
3;BeatEmUp;Rygar (US set 1);rygar;1986;Tecmo;;;
3;BeatEmUp;Samurai Nihon-ichi (set 1);tsamurai;1985;Taito;;;
3;BeatEmUp;Sengoku / Sengoku Denshou (set 1);sengoku;1991;SNK;;;
3;BeatEmUp;Sengoku 2 / Sengoku Denshou 2;sengoku2;1993;SNK;;;
3;BeatEmUp;Sengoku 3;sengoku3;2001;Noise Factory;;;
3;BeatEmUp;Shadow Force (US Version 2);shadfrce;1993;Technos Japan;;;
3;BeatEmUp;Shadow Warriors (World, set 1);shadoww;1988;Tecmo;;;
3;BeatEmUp;Shocking;shocking;1997;Yun Sung;;;
3;BeatEmUp;Silent Dragon (World);silentd;1992;Taito Corporation Japan;;;
3;BeatEmUp;Skull & Crossbones (rev 5);skullxbo;1989;Atari Games;;;
3;BeatEmUp;Snake Pit;snakepit;1984;Bally/Sente;;;
3;BeatEmUp;Spin Master / Miracle Adventure;spinmast;1993;Data East Corporation;;;
3;BeatEmUp;Splatter House (World new version);splatter;1988;Namco;;;
3;BeatEmUp;Strider (USA, B-Board 89624B-2);strider;1989;Capcom;;;
0;BeatEmUp;Strider 2 (USA 991213);strider2;1999;Capcom;;Freezes on launch;
3;BeatEmUp;Superman;superman;1988;Taito Corporation;;;
3;BeatEmUp;Takeda Shingen (Japan, Japanese);tshingen;1988;Jaleco;;;
3;BeatEmUp;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA);tmnt2;1991;Konami;;;
3;BeatEmUp;Teenage Mutant Ninja Turtles (World 4 Players);tmnt;1989;Konami;;;
3;BeatEmUp;The Astyanax;astyanax;1989;Jaleco;;;
3;BeatEmUp;The Cliffhanger - Edward Randy (World ver 3);edrandy;1990;Data East Corporation;;;
3;BeatEmUp;The Combatribes (US);ctribe;1990;Technos Japan;;;
3;BeatEmUp;The King of Dragons (World 910805);kod;1991;Capcom;;;
3;BeatEmUp;The Legend of Kage;lkage;1984;Taito Corporation;;;
3;BeatEmUp;The Legend of Silkroad;silkroad;1999;Unico;;;
3;BeatEmUp;The Ninja Kids (World);ninjak;1990;Taito Corporation Japan;;;
3;BeatEmUp;The Ninja Warriors (World);ninjaw;1987;Taito Corporation Japan;;;
3;BeatEmUp;The Punisher (World 930422);punisher;1993;Capcom;;;
3;BeatEmUp;The Return of Ishtar;roishtar;1986;Namco;;;
3;BeatEmUp;The Simpsons (4 Players World, set 1);simpsons;1991;Konami;;;
3;BeatEmUp;The Super Spy (NGM-011)(NGH-011);superspy;1990;SNK;;;
3;BeatEmUp;The Three Stooges In Brides Is Brides;3stooges;1984;Mylstar;;cracky sound;
3;BeatEmUp;Thunder Fox (World);thundfox;1990;Taito Corporation Japan;;;
3;BeatEmUp;Thunder Heroes;theroes;2001;Primetek Investments;;;
3;BeatEmUp;Tiger Road (US);tigeroad;1987;Capcom;;;
3;BeatEmUp;Top Hunter - Roddy & Cathy (NGM-046);tophuntr;1994;SNK;;;
2;BeatEmUp;Tough Turf (Japan);tturf;1989;Sega / Sunsoft;;No sound, graphical bugs;
3;BeatEmUp;Trio The Punch - Never Forget Me... (Japan);triothep;1989;Data East Corporation;;;
3;BeatEmUp;Trojan (US set 1);trojan;1986;Capcom;;;
3;BeatEmUp;Ultra Toukon Densetsu (Japan);utoukond;1993;Banpresto + Tsuburaya Prod.;;;
3;BeatEmUp;Undercover Cops (World);uccops;1992;Irem;;;
0;BeatEmUp;Vamp 1-2;vamphalf;None;Danbi;;no image;
3;BeatEmUp;Vandyke (Japan);vandyke;1990;UPL;;;
3;BeatEmUp;Vendetta (World, 4 Players, ver. T);vendetta;1991;Konami;;;
3;BeatEmUp;Vigilante (World);vigilant;1988;Irem;;;
3;BeatEmUp;Violent Storm (ver EAC);viostorm;1993;Konami;;;
3;BeatEmUp;Vs. Castlevania;cstlevna;1987;Konami;;;
3;BeatEmUp;Warrior Blade - Rastan Saga Episode III (Japan);warriorb;1991;Taito Corporation;;;
3;BeatEmUp;Warriors of Fate (World 921031);wof;1992;Capcom;;;
3;BeatEmUp;Wild Fang / Tecmo Knight;wildfang;1989;Tecmo;;;
3;BeatEmUp;Wizard Fire (Over Sea v2.1);wizdfire;1992;Data East Corporation;;;
3;BeatEmUp;Wonder Momo;wndrmomo;1987;Namco;;;
3;BeatEmUp;X-Men (4 Players ver UBB);xmen;1992;Konami;;;
2;Gun;Alien3: The Gun;alien3;1993;Sega;;lags a little;
0;Gun;Area 51;area51;1995;Atari Games;;no launch, chd ?;
0;Gun;Area 51 - Maximum Force Duo v2.0;area51mx;1998;Atari Games;;no launch, chd ?;
3;Gun;Bang!;bang;1998;Gaelco;;;
2;Gun;Bank Panic;bankp;1984;[Sanritsu] Sega;;not well placed buttons;
3;Gun;Battle Shark (US);bshark;1989;Taito America Corporation;;;
3;Gun;Battle Zone (set 1);bzone;1980;Atari;;;
1;Gun;Beast Busters (World);bbusters;1989;SNK;;Control problems;
3;Gun;Blasted;blasted;1988;Bally Midway;;;
0;Gun;CarnEvil;carnevil;1998;Midway Games;;no launch, chd ?;
2;Gun;Cheyenne (version 1.0);cheyenne;1984;Exidy;;bad sound;
3;Gun;Chiller (version 3.0);chiller;1986;Exidy;;Control problems;
3;Gun;Clay Pigeon (version 2.0);claypign;1986;Exidy;;;
3;Gun;Combat (version 3.0);combat;1985;Exidy;;;
3;Gun;Crackshot (version 2.0);cracksht;1985;Exidy;;;
3;Gun;Crossbow (version 2.0);crossbow;1983;Exidy;;;
0;Gun;Crypt Killer (ver. UAA);cryptklr;1995;Konami;;no launch, chd ?;
0;Gun;Cycle Shooting;cyclshtg;1986;Taito;;boot loop on menu;
3;Gun;D-Con;dcon;1992;Success;;Control problems;
2;Gun;Desert Gun;desertgu;1977;Midway;;Controls too sensitive, no sound;
3;Gun;Dragon Gun (US);dragngun;1993;Data East Corporation;;Control problems;
3;Gun;Empire City: 1931 (bootleg?);empcity;1986;Seibu Kaihatsu;;;
1;Gun;Enforce (Japan);enforce;1988;Taito Corporation;;Sound problem and game to speedy;
0;Gun;Golgo 13 (GLG1-VER.A);golgo13;1999;Raizing/Namco;;no launch, chd ?;
1;Gun;Golly! Ghost!;gollygho;1990;Namco;;no cursor controls;
1;Gun;Gunbuster (Japan);gunbustr;1992;Taito Corporation;;missing controls;
3;Gun;Hit 'n Miss (version 3.0);hitnmiss;1987;Exidy;;;
0;Gun;Judge Dredd (Rev C);jdredd;1996;Acclaim;;no launch, chd ?;
1;Gun;Jurassic Park;jpark;1994;Sega;;lags a lot;
0;Gun;Laser Ghost;lghost;None;Sega;;stuck on loading;
3;Gun;Lethal Enforcers (ver UAE);lethalen;1992;Konami;;;
2;Gun;Lethal Enforcers II: Gun Fighters (ver EAA);le2;1994;Konami;;can only reload on right side;
3;Gun;Lethal Justice;lethalj;1996;The Game Room;;;
3;Gun;Liberator (set 1);liberatr;1982;Atari;;;
0;Gun;Line of Fire;loffire;None;Sega;;no launch, chd ?;
1;Gun;Locked 'n Loaded (US);lockload;1994;Data East Corporation;;no controls;
0;Gun;Maximum Force v1.05;maxforce;1996;Atari Games;;no launch, chd ?;
1;Gun;Mechanized Attack (World);mechatt;1989;SNK;;sound problems after a while;
3;Gun;Mobile Suit Gundam Final Shooting (Japan);gdfs;1995;Banpresto;;;
3;Gun;N.Y. Captor;nycaptor;1985;Taito;;lags a tiny little bit;
3;Gun;Night Stocker;nstocker;1986;Bally/Sente;;;
3;Gun;One Shot One Kill;oneshot;None;<unknown>;;;
3;Gun;Operation Thunderbolt (World);othunder;1988;Taito Corporation Japan;;;
3;Gun;Operation Wolf (World, set 1);opwolf;1987;Taito Corporation Japan;;;
0;Gun;Operation Wolf 3 (World);opwolf3;1994;Taito Corporation Japan;;no launch, chd ?;
2;Gun;Point Blank;ptblank;1994;Namco;;no sound;
3;Gun;Police Trainer (Rev 1.3);policetr;1996;PandP Marketing;;;
0;Gun;Revolution X (Rev. 1.0 6-16-94);revx;1994;Midway;;needs calibration;
0;Gun;Sharpshooter (Rev 1.7);sshooter;1998;PandP Marketing;;needs calibration;
0;Gun;Shooting Master;shtngmst;1985;Sega;;screen blinks continuously;
3;Gun;Space Gun (World);spacegun;1990;Taito Corporation Japan;;;
1;Gun;Space Lords;spclords;1992;Atari Games;;controls broken;
1;Gun;Steel Gunner;sgunner;1990;Namco;;control problem;
1;Gun;Steel Gunner 2 (US);sgunner2;1991;Namco;;Control problems;
2;Gun;Tailgunner;tailg;1979;Cinematronics;;no sound;
1;Gun;Target Hits;targeth;1994;Gaelco;;protected ? controls broken;
0;Gun;Terminator 2 - Judgment Day (rev LA4 08/03/92);term2;1991;Midway;;Requires gun calibration;
3;Gun;Tickee Tickats;tickee;1994;Raster Elite;;;
1;Gun;Turkey Shoot;tshoot;1984;Williams;;cursor too small, controls too sensitive;
1;Gun;Under Fire (World);undrfire;1993;Taito Corporation Japan;;controls too sensitive, no cursor;
1;Gun;Viper;viper;1988;Leland Corp.;;controls too sensitive, no cursor;
1;Gun;Vs. Freedom Force;vsfdf;1988;Konami;;controls too sensitive;
0;Gun;Vs. Gumshoe;vsgshoe;1986;Nintendo;;no launch;
3;Gun;Who Dunit (version 8.0);whodunit;1988;Exidy;;;
3;Gun;Zero Point (set 1);zeropnt;1998;Unico;;;
3;Gun;Zero Point 2;zeropnt2;1999;Unico;;;
3;Gun;Zombie Raid (9/28/95, US);zombraid;1995;American Sammy;;Control problems;
2;Misc;005;005;1981;Sega;;"no sound, rom is actually ""005""";
3;Misc;Amidar;amidar;1981;Konami;;;
1;Misc;Angel Kids (Japan);angelkds;1988;Sega / Nasco?;;partial controls;
3;Misc;Anteater;anteater;1982;[Stern] (Tago license);;;
3;Misc;APB - All Points Bulletin (rev 7);apb;1987;Atari Games;;;
3;Misc;Arkanoid - Revenge of DOH (World);arknoid2;1987;Taito Corporation Japan;;;
3;Misc;Arkanoid (World);arkanoid;1986;Taito Corporation Japan;;;
1;Misc;Arkanoid Returns (Ver 2.02O 1997/02/10);arkretrn;1997;Taito Corporation;;lags a lot, no direction controls;
3;Misc;Armored Car (set 1);armorcar;1981;Stern;;;
3;Misc;Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players);bishi;1996;Konami;;;
2;Misc;Block Block (World 911106 Joystick);block;1991;Capcom;;lags a little, bad sound;
2;Misc;Block Carnival - Thunder and Lightning 2;blockcar;1992;Visco;;lags a little, bad sound;
3;Misc;Blocken (Japan);blocken;1994;Visco / KID;;;
3;Misc;Blue Print (Midway);blueprnt;1982;[Zilec Electronics] Bally Midway;;;
3;Misc;Bomb Bee;bombbee;1979;Namco;;;
3;Misc;Bomber Man World (World);bbmanw;1991;Irem;;;
1;Misc;Boot Hill;boothill;1977;Midway;;partial controls;
0;Misc;Brick Zone (v5.0);brickzn;1992;SunA;;start button not working;
3;Misc;Bubbles;bubbles;1982;Williams;;need to reset;
3;Misc;Bullfight (315-5065);bullfgt;1984;Coreland / Sega;;;
3;Misc;Butasan (Japan);butasan;1987;[NMK] (Jaleco license);;;
3;Misc;Cameltry (US);cameltry;1989;Taito Corporation;;;
0;Misc;Cassette: Flying Ball[Q];cflyball;1985;DECO;;freezes on wait screen;
3;Misc;Cassette: Graplop (aka Cluster Buster) (set 1);cgraplop;1983;DECO;;need to wait 119s before launch;
3;Misc;Cassette: Rootin' Tootin' (aka La.Pa.Pa);clapapa;1983;DECO;;need to wait 110s before launch;
1;Misc;Cassette: Treasure Island (set 1);ctisland;1981;DECO;;no sprites;
0;Misc;Cassette: Zeroize[Q];czeroize;1985;DECO;;freezes on wait screen;
3;Misc;Cavelon;cavelon;1983;Jetsoft;;;
3;Misc;Choky! Choky!;chokchok;1995;SemiCom;;;
3;Misc;Circus;circus;1977;Exidy;;;
1;Misc;Clowns (rev. 2);clowns;1978;Midway;;no way to enter coin ?;
3;Misc;Congo Bongo (Rev C, 2 board stack);congo;1983;Sega;;wrong ratio ?;
0;Misc;Counter Run;countrun;1988;Nihon System (Sega license);;freezes while loading;
3;Misc;Crazy Balloon (set 1);crbaloon;1980;Taito Corporation;;;
3;Misc;Crazy Climber 2 (Japan);cclimbr2;1988;Nichibutsu;;;
3;Misc;Crystal Castles (version 4);ccastles;1983;Atari;;;
3;Misc;Cuby Bop (Location Test);cubybop;None;Taito Corporation;;;
3;Misc;Cutie Q;cutieq;1979;Namco;;;
1;Misc;Demolition Derby (2-Player Mono Board Version);demoderm;1984;Bally Midway;;missing controls;
3;Misc;Devil Fish;devilfsh;1982;Artic;;;
3;Misc;Dig Dug (rev 2);digdug;1982;Namco;;;
3;Misc;Dig Dug II (New Ver.);digdug2;1985;Namco;;;
3;Misc;Disco No.1;disco;1982;Data East;;;
3;Misc;Discs of Tron (Upright);dotron;1983;Bally Midway;;;
3;Misc;Domino Man;domino;1982;Bally Midway;;;
3;Misc;Dynablaster (World);dynablst;1992;Irem (licensed from Hudson Soft);;;
3;Misc;Elevator Action;elevator;1983;Taito Corporation;;;
1;Misc;Elevator Action Returns (Ver 2.2O 1995/02/20);elvactr;1994;Taito Corporation Japan;;Lags a lot;
3;Misc;Exterminator;exterm;1989;Gottlieb / Premier Technology;;lags in menu;
3;Misc;Exvania (World);exvania;1992;Namco;;;
3;Misc;Fantasy (US);fantasy;1981;[SNK] (Rock-ola license);;;
3;Misc;Fast Lane;fastlane;1987;Konami;;;
3;Misc;Fire Trap (US);firetrap;1986;Data East USA;;;
3;Misc;Fitter;fitter;1981;Taito Corporation;;;
3;Misc;Fly-Boy;flyboy;1982;Kaneko;;;
3;Misc;Food Fight (rev 3);foodf;1982;Atari;;;
0;Misc;Free Kick;freekick;1987;Nihon System (Sega license);;freezes wghile loading;
3;Misc;Freeze;freeze;1984;Cinematronics;;;
3;Misc;Gee Bee;geebee;1978;Namco;;;
2;Misc;Ghox;ghox;1991;Toaplan;;no sound, but requires samples;
3;Misc;Go Go! Mile Smile;gogomile;1995;Fuuki;;;
3;Misc;Goindol (World);goindol;1987;Sun a Electronics;;;
3;Misc;Got-cha;gotcha;1997;Dongsung;;;
1;Misc;Gun Fight;gunfight;1975;Midway;;partial controls;
3;Misc;Gunbarich;gnbarich;2001;Psikyo;;;
3;Misc;Hard Hat;hardhat;1982;Exidy;;;
3;Misc;Hopping Mappy;hopmappy;1986;Namco;;;
3;Misc;Hot Shocker;hotshock;1982;E.G. Felaco;;;
2;Misc;Hot Smash;hotsmash;1987;Taito;;some problems in menu;
3;Misc;Hyper Pacman;hyperpac;1995;SemiCom;;;
3;Misc;I'm Sorry (US);imsorry;1985;Coreland / Sega;;;
1;Misc;Inferno (Williams);inferno;1984;Williams;;needs reset, partial controls;
3;Misc;Journey;journey;1983;Bally Midway;;;
3;Misc;Joust (White/Green label);joust;1982;Williams;;"needs ""Reset"" trick";
3;Misc;Joust 2 - Survival of the Fittest (set 1);joust2;1986;Williams;;"needs ""Reset"" trick";
3;Misc;Jr. Pac-Man;jrpacman;1983;Bally Midway;;;
3;Misc;Jungler;jungler;1981;Konami;;;
3;Misc;Kamikaze Cabbie;kamikcab;1984;Data East Corporation;;;
3;Misc;Kick (upright);kick;1981;Midway;;;
2;Misc;Knightmare (prototype);kngtmare;1983;Gottlieb;;no sound;
3;Misc;Kram (set 1);kram;1982;Taito America Corporation;;needs reset;
3;Misc;Krull;krull;1983;Gottlieb;;;
3;Misc;Libble Rabble;liblrabl;1983;Namco;;;
3;Misc;Lock'n'Chase;lnc;1981;Data East Corporation;;;
3;Misc;Lost Tomb (easy);losttomb;1982;Stern;;;
3;Misc;Lunar Lander (rev 2);llander;1979;Atari;;;
2;Misc;Lupin III;lupin3;1980;Taito;;no sound;
2;Misc;M-4;m4;1977;Midway;;no sound;
3;Misc;Marble Madness (set 1);marble;1984;Atari Games;;;
1;Misc;Marine Date;marinedt;1981;Taito;;no sound, no collision;
3;Misc;Marvin's Maze;marvins;1983;SNK;;;
3;Misc;Meikyu Jima (Japan);kikcubic;1988;Irem;;;
3;Misc;Metro-Cross (set 1);metrocrs;1985;Namco;;;
3;Misc;Mikie;mikie;1984;Konami;;;
3;Misc;Minky Monkey;mmonkey;1982;Technos + Roller Tron;;;
3;Misc;Missile Command (rev 3);missile;1980;Atari;;;
0;Misc;More More +;moremorp;None;SemiCom;;no image;
3;Misc;Motos;motos;1985;Namco;;;
2;Misc;Mouse Trap (version 5);mtrap;1981;Exidy;;bad sound;
1;Misc;Mr Driller (DRI1/VER.A2);mrdrillr;1999;Namco;;no sound + slow;
0;Misc;Mr Driller 2;mrdrilr2;2000;Namco;;no launch;
3;Misc;Ms. Pac-Man;mspacman;1981;Midway;;;
3;Misc;Mysterious Stones - Dr. John's Adventure;mystston;1984;Technos;;;
3;Misc;Neo Bomberman;neobombe;1997;Hudson;;;
2;Misc;Off the Wall (2-3-player upright);offtwall;1991;Atari Games;;bad controls sensitivity;
3;Misc;Oli-Boo-Chu;olibochu;1981;Irem + GDI;;;
2;Misc;Outfoxies;outfxies;1994;Namco;;no sound;
3;Misc;Pac & Pal;pacnpal;1983;Namco;;;
3;Misc;Pac-Man Plus;pacplus;1982;Namco (Midway license);;;
3;Misc;Pac-Mania;pacmania;1987;Namco;;;
3;Misc;Pack'n Bang Bang (prototype);packbang;1994;Kaneko;;;
3;Misc;Pang (World);pang;1989;Mitchell;;;
3;Misc;Pang! 3 (Euro 950601);pang3;1995;Mitchell;;;
3;Misc;Paperboy (rev 3);paperboy;1984;Atari Games;;;
3;Misc;Pepper II;pepper2;1982;Exidy;;;
3;Misc;Performan (Japan);perfrman;1985;[Toaplan] Data East Corporation;;;
3;Misc;Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 1);pipibibs;1991;Toaplan;;;
3;Misc;Pirate Ship Higemaru;higemaru;1984;Capcom;;;
3;Misc;PlayBall! (prototype);playball;1983;Williams;;;
3;Misc;Plump Pop (Japan);plumppop;1987;Taito Corporation;;;
3;Misc;Poly-Play;polyplay;1985;VEB Polytechnik Karl-Marx-Stadt;;;
3;Misc;Pop 'n Bounce / Gapporin;popbounc;1997;Video System Co.;;;
2;Misc;Portraits;portrait;1983;Olympia;;no sound;
3;Misc;Prebillian;pbillian;1986;Taito;;;
1;Misc;Puchi Carat (Japan);puchicar;1997;Taito Corporation;;lags a lot, no direction controls;
